Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaDarius Owens,DE,73,236,4.92,-0.363441295,,,,,,,,,,,-0.363441295,-0.363441295,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Lynden Trail,DE,78.63,269,4.91,-0.330013053,24,0.522155627,32.5,-0.260907109,117,0.197290101,4.48,-0.444628611,7.32,-0.116712305,-0.43281535,-0.072135892,,,,,,,,,0,,,2,0,9,10,19,9.5,,,,,,0,,
Mario Edwards,DE,74.63,279,4.84,-0.096015358,32,1.830830989,32.5,-0.260907109,120,0.51303681,4.55,-0.719842754,7.44,-0.420299224,0.846803354,0.141133892,2,35,34,,14,0,596,19,615,43.92857143,,2,0,35,8,43,21.5,,14,0,475,69,544,38.85714286,
Martin Ifedi,DE,75.13,275,4.88,-0.229728327,16,-0.786519735,31,-0.616815919,111,-0.434203318,4.58,-0.837791672,7.39,-0.293804674,-3.198863645,-0.533143941,7,227,217,,,,,,0,,,,,,,0,,,,,,,0,,
Mike Reilly,DE,76,265,4.82,-0.029158874,,,30.5,-0.735452188,109,-0.644701124,4.11,1.010074712,6.76,1.300026653,0.900789179,0.180157836,,,,,,,,,0,,,,,,,0,,,,,,,0,,
Nate Orchard,DE,75.25,250,4.8,0.03769761,,,31.5,-0.498179649,115,-0.013207705,4.43,-0.248047081,7.28,-0.015516665,-0.73725349,-0.147450698,2,51,50,,15,0,472,27,499,33.26666667,,3,0,88,12,100,33.33333333,,16,0,431,65,496,31,
Nordly Capi,DE,75,252,4.86,-0.162871843,,,,,,,,,,,-0.162871843,-0.162871843,,,,,,,,,0,,,,,,,0,,,8,0,88,96,184,23,
Obum Gwacham,DE,77.38,246,4.72,0.305123547,22,0.194986787,36,0.56954678,121,0.618285713,4.28,0.34169751,7.28,-0.015516665,2.014123672,0.335687279,6,209,202,,9,0,97,145,242,26.88888889,,1,0,0,7,7,7,,5,0,22,88,110,22,
Owamagbe Odighizuwa,DE,75.5,267,4.62,0.639405968,25,0.685740047,39,1.281364399,127,1.249779132,4.19,0.695544264,7.36,-0.217907944,4.333925866,0.722320978,3,74,73,,4,0,126,20,146,36.5,,14,0,169,92,261,18.64285714,,,,,,0,,
Preston Smith,DE,76.88,271,4.74,0.238267063,24,0.522155627,34,0.0950017,121,0.618285713,4.28,0.34169751,7.07,0.515760444,2.331168058,0.38852801,2,38,37,,16,0,509,173,682,42.625,,16,0,768,87,855,53.4375,,16,0,754,79,833,52.0625,
Randy Gregory,DE,76.88,235,4.64,0.572549484,24,0.522155627,36.5,0.68818305,125,1.039281326,,,,,2.822169487,0.705542372,2,60,59,,12,0,244,23,267,22.25,,2,0,66,1,67,33.5,,,,,,0,,
